employee_id,group_name
EMP0117,DataReaders
EMP0118,RiskTeam
EMP0119,DataReaders
EMP0120,FinanceUsers
EMP0120,SecurityAdmins
EMP0120,CloudOps
EMP0120,OktaAdmins
EMP0121,DataReaders
EMP0122,DevOps
EMP0122,SecurityAdmins
EMP0123,FinanceUsers
EMP0124,RiskTeam
EMP0124,SecurityAdmins
EMP0125,RiskTeam
EMP0125,OktaAdmins
EMP0126,FinanceUsers
EMP0126,SecurityAdmins
EMP0126,CloudOps
EMP0127,DevOps
EMP0128,DevOps
EMP0129,RiskTeam
EMP0130,DataReaders
EMP0131,FinanceUsers
EMP0132,DataReaders
EMP0133,FinanceUsers
EMP0134,DevOps
EMP0135,DataReaders
EMP0136,DataReaders
EMP0137,FinanceUsers
EMP0138,DevOps
EMP0138,SecurityAdmins
EMP0138,CloudOps
EMP0139,DataReaders
EMP0140,FinanceUsers
EMP0140,SecurityAdmins
EMP0141,FinanceUsers
EMP0142,FinanceUsers
EMP0142,SecurityAdmins
EMP0143,RiskTeam
EMP0144,RiskTeam
EMP0145,FinanceUsers
EMP0146,DevOps
EMP0147,DevOps
EMP0148,FinanceUsers
EMP0148,SecurityAdmins
EMP0149,RiskTeam
EMP0150,DataReaders
EMP0150,SecurityAdmins
EMP0151,RiskTeam
EMP0152,DevOps
EMP0153,DevOps
EMP0153,CloudOps
EMP0154,DataReaders
EMP0155,DevOps
EMP0156,RiskTeam
EMP0157,DataReaders
EMP0158,RiskTeam
EMP0159,FinanceUsers
EMP0160,DevOps
EMP0160,SecurityAdmins
EMP0160,OktaAdmins
EMP0161,FinanceUsers
EMP0162,FinanceUsers
EMP0162,SecurityAdmins
EMP0163,DataReaders
EMP0164,DataReaders
EMP0164,SecurityAdmins
EMP0165,DataReaders
EMP0166,FinanceUsers
EMP0167,DevOps
EMP0168,RiskTeam
EMP0169,DevOps
EMP0170,DevOps
EMP0171,DataReaders
EMP0172,DevOps
EMP0173,RiskTeam
EMP0174,FinanceUsers
EMP0175,DataReaders
EMP0176,DevOps
EMP0177,DevOps
EMP0178,RiskTeam
EMP0178,SecurityAdmins
EMP0179,DataReaders
EMP0180,FinanceUsers
EMP0181,DataReaders
EMP0182,FinanceUsers
EMP0182,SecurityAdmins
EMP0183,RiskTeam
EMP0183,CloudOps
EMP0184,DataReaders
EMP0185,RiskTeam
EMP0186,DataReaders
EMP0186,SecurityAdmins
EMP0186,CloudOps
EMP0187,DataReaders
EMP0188,DevOps
EMP0189,RiskTeam
EMP0189,CloudOps
EMP0190,DataReaders
EMP0190,SecurityAdmins
EMP0190,OktaAdmins
EMP0191,DataReaders
EMP0192,DevOps
EMP0193,FinanceUsers
EMP0194,DevOps
EMP0194,SecurityAdmins
EMP0195,RiskTeam
EMP0196,DevOps
EMP0197,DevOps
EMP0198,RiskTeam
EMP0199,FinanceUsers
EMP0200,FinanceUsers
EMP0201,RiskTeam
EMP0201,CloudOps
EMP0202,DataReaders
EMP0203,RiskTeam
EMP0204,RiskTeam
EMP0205,DevOps
EMP0206,DevOps
EMP0207,RiskTeam
EMP0208,DevOps
EMP0208,SecurityAdmins
EMP0209,FinanceUsers
EMP0210,RiskTeam
EMP0211,FinanceUsers
EMP0212,DataReaders
EMP0212,SecurityAdmins
EMP0213,FinanceUsers
EMP0214,RiskTeam
EMP0215,DataReaders
EMP0216,DataReaders
EMP0217,RiskTeam
EMP0218,DevOps
EMP0219,FinanceUsers
EMP0220,DevOps
EMP0221,FinanceUsers
EMP0222,DevOps
EMP0223,RiskTeam
EMP0224,DevOps
EMP0225,RiskTeam
EMP0226,RiskTeam
EMP0227,DataReaders
EMP0228,DataReaders
EMP0228,CloudOps
EMP0229,DevOps
EMP0230,DevOps
EMP0231,DataReaders
EMP0232,FinanceUsers
EMP0232,SecurityAdmins
EMP0233,DevOps
EMP0234,DevOps
EMP0235,DataReaders
EMP0236,DevOps
EMP0237,DataReaders
EMP0238,DataReaders
EMP0239,DevOps
EMP0240,DataReaders
EMP0241,DataReaders
EMP0242,FinanceUsers
EMP0243,RiskTeam
EMP0244,DataReaders
EMP0244,SecurityAdmins
EMP0245,DevOps
EMP0246,DevOps
EMP0246,SecurityAdmins
EMP0247,DevOps
EMP0248,DataReaders
EMP0249,DevOps
EMP0249,CloudOps
EMP0250,DevOps
EMP0251,DevOps
EMP0252,DevOps
EMP0252,SecurityAdmins
EMP0253,FinanceUsers
EMP0254,RiskTeam
EMP0255,DevOps
EMP0256,DevOps
EMP0256,SecurityAdmins
EMP0257,DataReaders
EMP0258,FinanceUsers
EMP0258,SecurityAdmins
EMP0258,CloudOps
EMP0259,RiskTeam
EMP0260,FinanceUsers
EMP0261,DataReaders
EMP0262,RiskTeam
EMP0263,FinanceUsers
EMP0264,DevOps
EMP0265,DataReaders
EMP0266,RiskTeam
EMP0267,FinanceUsers
EMP0268,DevOps
EMP0269,DataReaders
EMP0270,RiskTeam
EMP0270,SecurityAdmins
EMP0270,CloudOps
EMP0270,OktaAdmins
EMP0271,FinanceUsers
EMP0272,FinanceUsers
EMP0272,SecurityAdmins
EMP0273,DataReaders
EMP0274,FinanceUsers
EMP0275,RiskTeam
EMP0276,DataReaders
EMP0277,DevOps
EMP0278,RiskTeam
EMP0279,DevOps
EMP0280,DataReaders
EMP0281,RiskTeam
EMP0282,RiskTeam
EMP0283,DataReaders
EMP0284,DevOps
EMP0284,SecurityAdmins
EMP0285,FinanceUsers
EMP0286,RiskTeam
EMP0287,RiskTeam
EMP0288,FinanceUsers
EMP0289,DataReaders
EMP0290,DevOps
EMP0291,DevOps
EMP0292,FinanceUsers
EMP0293,RiskTeam
EMP0294,DataReaders
EMP0294,SecurityAdmins
EMP0295,FinanceUsers
EMP0296,DataReaders
EMP0297,DevOps
EMP0297,CloudOps
EMP0298,FinanceUsers
EMP0299,DataReaders
EMP0300,DataReaders
EMP0301,RiskTeam
EMP0302,DataReaders
EMP0303,DevOps
EMP0304,FinanceUsers
EMP0305,FinanceUsers
EMP0305,OktaAdmins
EMP0306,DevOps
EMP0307,DevOps
EMP0308,DataReaders
EMP0308,SecurityAdmins
EMP0309,DataReaders
EMP0310,RiskTeam
EMP0311,DataReaders
EMP0312,DataReaders
EMP0313,DevOps
EMP0314,DataReaders
EMP0315,FinanceUsers
EMP0316,FinanceUsers
EMP0316,SecurityAdmins
EMP0317,DataReaders
EMP0318,DataReaders
EMP0318,CloudOps
EMP0319,RiskTeam
EMP0320,FinanceUsers
EMP0321,RiskTeam
EMP0322,FinanceUsers
EMP0323,DataReaders
EMP0324,DevOps
EMP0325,FinanceUsers
EMP0326,DevOps
EMP0327,DevOps
EMP0328,FinanceUsers
EMP0329,RiskTeam
EMP0330,FinanceUsers
EMP0331,DevOps
EMP0332,FinanceUsers
EMP0333,DevOps
EMP0334,DevOps
EMP0335,DataReaders
EMP0336,DataReaders
EMP0337,DataReaders
EMP0338,DataReaders
EMP0338,SecurityAdmins
EMP0339,FinanceUsers
EMP0340,DataReaders
EMP0340,SecurityAdmins
EMP0341,FinanceUsers
EMP0342,RiskTeam
EMP0343,RiskTeam
EMP0344,DevOps
EMP0344,SecurityAdmins
EMP0345,FinanceUsers
EMP0346,FinanceUsers
EMP0346,SecurityAdmins
EMP0347,RiskTeam
EMP0348,DataReaders
EMP0348,SecurityAdmins
EMP0349,DataReaders
EMP0350,FinanceUsers
