employee_id,platform,old_role,new_role,change_date
EMP0126,AWS,Developer,AdministratorAccess,2026-05-24
EMP0126,AWS,Developer,AdministratorAccess,2026-05-25
EMP0126,Okta,Developer,SuperAdmin,2026-05-26
EMP0126,AWS,Developer,AdministratorAccess,2026-05-27
EMP0127,AWS,Developer,AdministratorAccess,2026-05-24
EMP0127,AWS,Developer,AdministratorAccess,2026-05-25
EMP0127,AWS,Developer,AdministratorAccess,2026-05-26
EMP0127,GitHub,Developer,OrgOwner,2026-05-27
EMP0128,AWS,Developer,AdministratorAccess,2026-05-24
EMP0128,AWS,Developer,AdministratorAccess,2026-05-25
EMP0128,AWS,Developer,AdministratorAccess,2026-05-26
EMP0128,GitHub,Developer,OrgOwner,2026-05-27
EMP0129,Okta,Developer,SuperAdmin,2026-05-24
EMP0129,GitHub,Developer,OrgOwner,2026-05-25
EMP0129,Okta,Developer,SuperAdmin,2026-05-26
EMP0129,GitHub,Developer,OrgOwner,2026-05-27
EMP0130,GitHub,Developer,OrgOwner,2026-05-24
EMP0130,AWS,Developer,AdministratorAccess,2026-05-25
EMP0130,Okta,Developer,SuperAdmin,2026-05-26
EMP0130,GitHub,Developer,OrgOwner,2026-05-27
EMP0131,Okta,Developer,SuperAdmin,2026-05-24
EMP0131,GitHub,Developer,OrgOwner,2026-05-25
EMP0131,Okta,Developer,SuperAdmin,2026-05-26
EMP0131,Okta,Developer,SuperAdmin,2026-05-27
EMP0132,Okta,Developer,SuperAdmin,2026-05-24
EMP0132,GitHub,Developer,OrgOwner,2026-05-25
EMP0132,GitHub,Developer,OrgOwner,2026-05-26
EMP0132,GitHub,Developer,OrgOwner,2026-05-27
EMP0133,GitHub,Developer,OrgOwner,2026-05-24
EMP0133,Okta,Developer,SuperAdmin,2026-05-25
EMP0133,GitHub,Developer,OrgOwner,2026-05-26
EMP0133,Okta,Developer,SuperAdmin,2026-05-27
EMP0134,AWS,Developer,AdministratorAccess,2026-05-24
EMP0134,GitHub,Developer,OrgOwner,2026-05-25
EMP0134,AWS,Developer,AdministratorAccess,2026-05-26
EMP0134,AWS,Developer,AdministratorAccess,2026-05-27
EMP0135,AWS,Developer,AdministratorAccess,2026-05-24
EMP0135,Okta,Developer,SuperAdmin,2026-05-25
EMP0135,GitHub,Developer,OrgOwner,2026-05-26
EMP0135,GitHub,Developer,OrgOwner,2026-05-27
EMP0136,GitHub,Developer,OrgOwner,2026-05-24
EMP0136,Okta,Developer,SuperAdmin,2026-05-25
EMP0136,Okta,Developer,SuperAdmin,2026-05-26
EMP0136,AWS,Developer,AdministratorAccess,2026-05-27
EMP0137,Okta,Developer,SuperAdmin,2026-05-24
EMP0137,Okta,Developer,SuperAdmin,2026-05-25
EMP0137,Okta,Developer,SuperAdmin,2026-05-26
EMP0137,GitHub,Developer,OrgOwner,2026-05-27
EMP0138,Okta,Developer,SuperAdmin,2026-05-24
EMP0138,Okta,Developer,SuperAdmin,2026-05-25
EMP0138,Okta,Developer,SuperAdmin,2026-05-26
EMP0138,GitHub,Developer,OrgOwner,2026-05-27
EMP0139,AWS,Developer,AdministratorAccess,2026-05-24
EMP0139,Okta,Developer,SuperAdmin,2026-05-25
EMP0139,Okta,Developer,SuperAdmin,2026-05-26
EMP0139,AWS,Developer,AdministratorAccess,2026-05-27
EMP0140,AWS,Developer,AdministratorAccess,2026-05-24
EMP0140,AWS,Developer,AdministratorAccess,2026-05-25
EMP0140,GitHub,Developer,OrgOwner,2026-05-26
EMP0140,GitHub,Developer,OrgOwner,2026-05-27
