employee_id,finding,severity,risk_score
EMP0135,Privilege Spike,HIGH,78
EMP0136,Privilege Spike,HIGH,78
EMP0137,Privilege Spike,HIGH,78
EMP0138,Privilege Spike,HIGH,78
EMP0139,Privilege Spike,HIGH,78
EMP0140,Privilege Spike,HIGH,78
EMP0141,Token Abuse,HIGH,76
EMP0142,Token Abuse,HIGH,76
EMP0143,Token Abuse,HIGH,76
EMP0144,Token Abuse,HIGH,76
EMP0145,Token Abuse,HIGH,76
EMP0146,Token Abuse,HIGH,76
EMP0147,Token Abuse,HIGH,76
EMP0148,Token Abuse,HIGH,76
EMP0149,Token Abuse,HIGH,76
EMP0150,Token Abuse,HIGH,76
EMP0151,Token Abuse,HIGH,76
EMP0152,Token Abuse,HIGH,76
EMP0153,Token Abuse,HIGH,76
EMP0154,Token Abuse,HIGH,76
EMP0155,Token Abuse,HIGH,76
EMP0156,Token Abuse,HIGH,76
EMP0157,Token Abuse,HIGH,76
EMP0228,Dormant Admin,HIGH,74
EMP0229,Dormant Admin,HIGH,74
EMP0230,Dormant Admin,HIGH,74
EMP0231,Dormant Admin,HIGH,74
EMP0232,Dormant Admin,HIGH,74
EMP0233,Dormant Admin,HIGH,74
EMP0234,Dormant Admin,HIGH,74
EMP0235,Dormant Admin,HIGH,74
EMP0236,Dormant Admin,HIGH,74
EMP0237,Dormant Admin,HIGH,74
EMP0238,Dormant Admin,HIGH,74
EMP0239,Dormant Admin,HIGH,74
EMP0240,Dormant Admin,HIGH,74
EMP0241,Dormant Admin,HIGH,74
EMP0242,Dormant Admin,HIGH,74
EMP0243,Dormant Admin,HIGH,74
EMP0244,Dormant Admin,HIGH,74
EMP0245,Dormant Admin,HIGH,74
EMP0246,Dormant Admin,HIGH,74
EMP0247,Dormant Admin,HIGH,74
EMP0248,Dormant Admin,HIGH,74
EMP0249,Dormant Admin,HIGH,74
EMP0250,Dormant Admin,HIGH,74
EMP0251,Dormant Admin,HIGH,74
EMP0252,Dormant Admin,HIGH,74
EMP0253,Dormant Admin,HIGH,74
EMP0254,Dormant Admin,HIGH,74
EMP0255,Dormant Admin,HIGH,74
EMP0256,Dormant Admin,HIGH,74
EMP0257,Dormant Admin,HIGH,74
