event_id,employee_id,platform,event_type,timestamp
EV000323,EMP0014,AD,Login,2026-01-08T05:34
EV000324,EMP0014,AD,TokenUse,2026-03-18T14:12
EV000325,EMP0014,AWS,Login,2026-04-24T03:24
EV000326,EMP0014,AWS,Logout,2026-03-17T12:53
EV000327,EMP0015,Salesforce,S3Access,2025-12-25T23:50
EV000328,EMP0015,GitHub,TokenUse,2026-05-12T03:06
EV000329,EMP0015,AD,S3Access,2026-05-16T06:58
EV000330,EMP0015,AD,RoleChange,2026-01-05T15:58
EV000331,EMP0015,AWS,RoleChange,2025-12-27T01:27
EV000332,EMP0015,AD,RepoAccess,2026-01-24T16:54
EV000333,EMP0015,AWS,Logout,2026-04-18T05:55
EV000334,EMP0015,Salesforce,S3Access,2026-02-13T07:28
EV000335,EMP0015,AD,Login,2026-04-27T16:30
EV000336,EMP0015,AD,TokenUse,2026-01-28T09:51
EV000337,EMP0015,Salesforce,RoleChange,2026-02-02T01:01
EV000338,EMP0015,Salesforce,DataExport,2026-05-06T06:07
EV000339,EMP0015,GitHub,RepoAccess,2026-01-04T09:54
EV000340,EMP0015,AD,DataExport,2026-03-16T06:59
EV000341,EMP0015,GitHub,S3Access,2026-05-31T19:15
EV000342,EMP0015,GitHub,DataExport,2026-03-18T21:52
EV000343,EMP0015,GitHub,S3Access,2026-01-30T00:39
EV000344,EMP0015,Salesforce,DataExport,2026-05-04T16:29
EV000345,EMP0015,GitHub,TicketUpdate,2026-04-10T10:11
EV000346,EMP0015,Salesforce,RoleChange,2026-05-13T18:29
EV000347,EMP0015,Salesforce,TokenUse,2026-03-08T12:05
EV000348,EMP0015,GitHub,S3Access,2026-03-28T11:12
EV000349,EMP0015,Salesforce,RoleChange,2026-01-27T21:48
EV000350,EMP0015,Salesforce,Login,2025-12-31T08:21
EV000351,EMP0015,Okta,DataExport,2026-01-24T06:47
EV000352,EMP0015,AWS,Login,2026-03-10T00:38
EV000353,EMP0015,GitHub,RepoAccess,2026-02-02T01:13
EV000354,EMP0016,AD,TokenUse,2026-05-10T09:23
EV000355,EMP0016,GitHub,DataExport,2026-04-16T01:43
EV000356,EMP0016,Salesforce,TicketUpdate,2026-01-21T10:25
EV000357,EMP0016,Okta,TokenUse,2026-03-15T02:25
EV000358,EMP0016,Okta,RoleChange,2026-02-19T00:16
EV000359,EMP0016,GitHub,TokenUse,2026-04-05T09:49
EV000360,EMP0016,AD,TokenUse,2026-03-25T18:18
EV000361,EMP0016,Salesforce,TicketUpdate,2025-12-24T06:31
EV000362,EMP0016,AD,S3Access,2026-05-17T20:20
EV000363,EMP0016,Okta,TokenUse,2026-05-26T13:17
EV000364,EMP0016,GitHub,S3Access,2026-04-08T12:25
EV000365,EMP0016,AWS,DataExport,2026-01-09T08:36
EV000366,EMP0016,Okta,S3Access,2026-02-12T08:20
EV000367,EMP0016,Salesforce,Logout,2026-05-01T11:27
EV000368,EMP0016,GitHub,RepoAccess,2026-01-13T16:44
EV000369,EMP0016,GitHub,TicketUpdate,2026-03-17T21:35
EV000370,EMP0016,AWS,TokenUse,2026-04-17T00:15
EV000371,EMP0016,AD,Login,2026-02-08T18:27
EV000372,EMP0016,GitHub,TokenUse,2026-03-22T18:15
EV000373,EMP0016,Salesforce,RoleChange,2025-12-26T12:32
EV000374,EMP0016,AWS,S3Access,2026-02-28T02:47
EV000375,EMP0016,GitHub,DataExport,2026-05-01T23:43
EV000376,EMP0016,AWS,Logout,2026-02-24T01:20
EV000377,EMP0016,GitHub,RoleChange,2026-03-09T12:57
EV000378,EMP0016,GitHub,Logout,2025-12-30T07:38
EV000379,EMP0016,AD,RoleChange,2026-05-12T01:45
EV000380,EMP0017,AD,Login,2026-02-03T18:11
EV000381,EMP0017,Salesforce,RepoAccess,2026-01-29T15:39
EV000382,EMP0017,Salesforce,S3Access,2026-04-28T06:32
EV000383,EMP0017,GitHub,Logout,2026-04-03T01:59
EV000384,EMP0017,Okta,S3Access,2026-04-17T07:37
EV000385,EMP0017,AD,Logout,2026-01-03T22:04
EV000386,EMP0017,AWS,DataExport,2026-04-24T10:14
EV000387,EMP0017,Salesforce,TokenUse,2026-02-16T08:08
EV000388,EMP0017,Salesforce,TicketUpdate,2026-03-21T21:22
EV000389,EMP0017,AD,RepoAccess,2026-05-02T17:05
EV000390,EMP0017,Okta,RoleChange,2026-01-08T01:52
EV000391,EMP0017,GitHub,TokenUse,2026-01-06T08:33
EV000392,EMP0017,Salesforce,TokenUse,2026-05-25T09:03
EV000393,EMP0017,GitHub,RoleChange,2026-03-03T08:09
EV000394,EMP0017,Okta,DataExport,2026-05-25T18:59
EV000395,EMP0017,GitHub,TokenUse,2026-05-10T17:53
EV000396,EMP0017,AWS,S3Access,2026-04-06T15:26
EV000397,EMP0017,AWS,TicketUpdate,2026-02-05T22:20
EV000398,EMP0018,AD,TokenUse,2026-03-04T11:11
EV000399,EMP0018,Okta,TicketUpdate,2025-12-28T18:14
EV000400,EMP0018,Okta,DataExport,2026-02-08T18:46
EV000401,EMP0018,Okta,RepoAccess,2026-02-28T00:29
EV000402,EMP0018,AWS,Logout,2026-01-27T08:53
EV000403,EMP0018,GitHub,TokenUse,2026-01-02T13:31
EV000404,EMP0018,AD,S3Access,2026-04-25T08:41
EV000405,EMP0018,GitHub,Logout,2026-01-14T04:08
EV000406,EMP0018,GitHub,RepoAccess,2026-05-12T20:38
EV000407,EMP0018,Salesforce,Logout,2026-04-30T02:55
EV000408,EMP0018,AWS,TokenUse,2026-05-14T02:13
EV000409,EMP0018,AWS,TokenUse,2026-05-29T13:32
EV000410,EMP0018,AWS,DataExport,2026-02-07T03:18
EV000411,EMP0018,GitHub,DataExport,2026-04-14T20:44
EV000412,EMP0018,AD,Login,2026-03-07T22:14
EV000413,EMP0018,GitHub,RoleChange,2026-03-28T06:39
EV000414,EMP0018,Salesforce,DataExport,2026-05-20T15:29
EV000415,EMP0018,GitHub,Login,2026-02-20T03:21
EV000416,EMP0018,Okta,DataExport,2026-04-16T07:37
EV000417,EMP0018,AD,RoleChange,2026-02-14T18:26
EV000418,EMP0018,Salesforce,Login,2026-02-02T05:49
EV000419,EMP0018,Salesforce,Login,2026-02-09T14:41
EV000420,EMP0018,GitHub,DataExport,2026-03-17T14:14
EV000421,EMP0018,Okta,DataExport,2026-01-10T00:25
EV000422,EMP0018,Okta,RoleChange,2026-03-22T00:31
EV000423,EMP0018,AD,RepoAccess,2026-03-02T18:57
EV000424,EMP0018,GitHub,S3Access,2026-05-22T11:37
EV000425,EMP0019,Salesforce,Login,2026-04-29T11:02
EV000426,EMP0019,AWS,S3Access,2026-04-22T12:05
EV000427,EMP0019,GitHub,RepoAccess,2026-05-09T21:00
EV000428,EMP0019,Okta,RoleChange,2026-04-13T23:34
EV000429,EMP0019,AD,Login,2026-03-31T02:44
EV000430,EMP0019,AD,Login,2026-04-11T07:37
EV000431,EMP0019,Okta,RepoAccess,2026-03-24T16:55
EV000432,EMP0019,GitHub,Login,2026-02-20T19:37
EV000433,EMP0019,GitHub,TicketUpdate,2026-05-08T08:05
EV000434,EMP0019,GitHub,DataExport,2026-03-23T14:45
EV000435,EMP0019,Okta,TokenUse,2026-02-16T11:23
EV000436,EMP0019,AWS,DataExport,2026-01-30T11:46
EV000437,EMP0019,Okta,Logout,2026-02-06T03:39
