token_id,employee_id,token_age_days
TOK01051,EMP0105,246
TOK01061,EMP0106,285
TOK01062,EMP0106,295
TOK01071,EMP0107,253
TOK01081,EMP0108,73
TOK01082,EMP0108,70
TOK01091,EMP0109,158
TOK01092,EMP0109,20
TOK01101,EMP0110,575
TOK01111,EMP0111,165
TOK01121,EMP0112,102
TOK01131,EMP0113,227
TOK01132,EMP0113,78
TOK01141,EMP0114,105
TOK01142,EMP0114,35
TOK01151,EMP0115,115
TOK01152,EMP0115,79
TOK01161,EMP0116,55
TOK01171,EMP0117,236
TOK01172,EMP0117,87
TOK01181,EMP0118,64
TOK01191,EMP0119,259
TOK01201,EMP0120,300
TOK01211,EMP0121,395
TOK01212,EMP0121,459
TOK01221,EMP0122,263
TOK01222,EMP0122,204
TOK01231,EMP0123,241
TOK01241,EMP0124,54
TOK01251,EMP0125,162
TOK01261,EMP0126,295
TOK01262,EMP0126,105
TOK01271,EMP0127,99
TOK01281,EMP0128,248
TOK01291,EMP0129,101
TOK01301,EMP0130,25
TOK01311,EMP0131,241
TOK01312,EMP0131,155
TOK01321,EMP0132,406
TOK01322,EMP0132,692
TOK01331,EMP0133,54
TOK01341,EMP0134,139
TOK01342,EMP0134,166
TOK01351,EMP0135,109
TOK01352,EMP0135,208
TOK01361,EMP0136,201
TOK01371,EMP0137,80
TOK01381,EMP0138,76
TOK01382,EMP0138,296
TOK01391,EMP0139,32
TOK01392,EMP0139,31
TOK01401,EMP0140,289
TOK01402,EMP0140,207
TOK01411,EMP0141,485
TOK01412,EMP0141,397
TOK01413,EMP0141,577
TOK01421,EMP0142,557
TOK01422,EMP0142,634
TOK01423,EMP0142,716
TOK01431,EMP0143,386
TOK01432,EMP0143,560
TOK01433,EMP0143,372
TOK01441,EMP0144,659
TOK01442,EMP0144,638
TOK01443,EMP0144,420
TOK01451,EMP0145,573
TOK01452,EMP0145,566
TOK01453,EMP0145,666
TOK01461,EMP0146,669
TOK01462,EMP0146,567
TOK01463,EMP0146,521
TOK01471,EMP0147,492
TOK01472,EMP0147,690
TOK01473,EMP0147,698
TOK01481,EMP0148,591
TOK01482,EMP0148,641
TOK01483,EMP0148,717
TOK01491,EMP0149,479
TOK01492,EMP0149,643
TOK01493,EMP0149,375
TOK01501,EMP0150,704
TOK01502,EMP0150,612
TOK01503,EMP0150,452
TOK01511,EMP0151,406
TOK01512,EMP0151,516
TOK01513,EMP0151,373
TOK01521,EMP0152,710
TOK01522,EMP0152,630
TOK01523,EMP0152,708
TOK01531,EMP0153,549
TOK01532,EMP0153,438
TOK01533,EMP0153,536
TOK01541,EMP0154,620
TOK01542,EMP0154,668
TOK01543,EMP0154,583
TOK01551,EMP0155,513
TOK01552,EMP0155,474
TOK01553,EMP0155,555
TOK01561,EMP0156,560
TOK01562,EMP0156,407
TOK01563,EMP0156,430
TOK01571,EMP0157,715
TOK01572,EMP0157,636
TOK01573,EMP0157,567
TOK01581,EMP0158,24
TOK01591,EMP0159,112
TOK01601,EMP0160,280
TOK01602,EMP0160,256
TOK01611,EMP0161,21
TOK01621,EMP0162,179
TOK01631,EMP0163,264
TOK01641,EMP0164,275
TOK01642,EMP0164,93
TOK01651,EMP0165,495
TOK01652,EMP0165,687
TOK01661,EMP0166,202
TOK01671,EMP0167,179
TOK01681,EMP0168,230
TOK01691,EMP0169,242
TOK01701,EMP0170,73
TOK01702,EMP0170,27
TOK01711,EMP0171,287
TOK01721,EMP0172,133
TOK01731,EMP0173,288
TOK01732,EMP0173,187
TOK01741,EMP0174,208
TOK01742,EMP0174,83
TOK01751,EMP0175,250
TOK01761,EMP0176,489
TOK01771,EMP0177,142
TOK01772,EMP0177,148
TOK01781,EMP0178,33
TOK01791,EMP0179,183
TOK01792,EMP0179,24
TOK01801,EMP0180,133
TOK01811,EMP0181,57
TOK01812,EMP0181,27
TOK01821,EMP0182,140
TOK01822,EMP0182,277
TOK01831,EMP0183,229
TOK01832,EMP0183,108
TOK01841,EMP0184,132
TOK01851,EMP0185,224
TOK01861,EMP0186,28
TOK01871,EMP0187,616
TOK01881,EMP0188,242
TOK01882,EMP0188,114
TOK01891,EMP0189,256
TOK01901,EMP0190,286
TOK01902,EMP0190,268
TOK01911,EMP0191,292
TOK01912,EMP0191,120
TOK01921,EMP0192,271
TOK01922,EMP0192,158
TOK01931,EMP0193,54
TOK01941,EMP0194,112
TOK01942,EMP0194,177
TOK01951,EMP0195,119
TOK01952,EMP0195,252
TOK01961,EMP0196,131
TOK01962,EMP0196,270
TOK01971,EMP0197,287
TOK01972,EMP0197,120
TOK01981,EMP0198,458
TOK01982,EMP0198,713
TOK01991,EMP0199,261
TOK02001,EMP0200,221
TOK02011,EMP0201,142
TOK02021,EMP0202,234
TOK02031,EMP0203,258
TOK02032,EMP0203,300
TOK02041,EMP0204,172
TOK02051,EMP0205,160
TOK02052,EMP0205,63
TOK02061,EMP0206,74
TOK02062,EMP0206,33
TOK02071,EMP0207,39
TOK02072,EMP0207,84
TOK02081,EMP0208,40
TOK02091,EMP0209,565
TOK02101,EMP0210,126
TOK02102,EMP0210,291
TOK02111,EMP0211,188
TOK02121,EMP0212,115
TOK02131,EMP0213,255
TOK02132,EMP0213,192
TOK02141,EMP0214,243
TOK02151,EMP0215,55
TOK02161,EMP0216,254
TOK02162,EMP0216,182
TOK02171,EMP0217,191
TOK02172,EMP0217,293
TOK02181,EMP0218,152
TOK02191,EMP0219,245
TOK02192,EMP0219,81
TOK02201,EMP0220,640
TOK02211,EMP0221,188
TOK02221,EMP0222,257
TOK02231,EMP0223,52
TOK02241,EMP0224,77
TOK02251,EMP0225,220
TOK02261,EMP0226,142
TOK02271,EMP0227,80
TOK02272,EMP0227,172
TOK02281,EMP0228,288
TOK02282,EMP0228,89
TOK02291,EMP0229,43
TOK02292,EMP0229,112
TOK02301,EMP0230,217
TOK02311,EMP0231,575
TOK02321,EMP0232,238
TOK02331,EMP0233,99
TOK02332,EMP0233,41
TOK02341,EMP0234,265
TOK02342,EMP0234,135
TOK02351,EMP0235,148
TOK02361,EMP0236,178
TOK02371,EMP0237,253
TOK02372,EMP0237,212
TOK02381,EMP0238,254
TOK02391,EMP0239,29
TOK02392,EMP0239,53
TOK02401,EMP0240,122
TOK02402,EMP0240,200
TOK02411,EMP0241,215
TOK02421,EMP0242,426
TOK02422,EMP0242,529
TOK02431,EMP0243,270
TOK02432,EMP0243,91
TOK02441,EMP0244,269
TOK02451,EMP0245,217
TOK02461,EMP0246,76
TOK02462,EMP0246,78
TOK02471,EMP0247,260
TOK02472,EMP0247,42
TOK02481,EMP0248,135
TOK02482,EMP0248,213
TOK02491,EMP0249,219
TOK02492,EMP0249,94
TOK02501,EMP0250,296
TOK02511,EMP0251,272
TOK02512,EMP0251,168
TOK02521,EMP0252,35
TOK02522,EMP0252,52
TOK02531,EMP0253,394
TOK02541,EMP0254,49
TOK02542,EMP0254,198
TOK02551,EMP0255,95
TOK02552,EMP0255,94
TOK02561,EMP0256,79
TOK02571,EMP0257,64
TOK02581,EMP0258,64
TOK02591,EMP0259,133
TOK02601,EMP0260,37
TOK02611,EMP0261,264
TOK02612,EMP0261,75
TOK02621,EMP0262,113
TOK02622,EMP0262,82
TOK02631,EMP0263,257
TOK02641,EMP0264,471
TOK02651,EMP0265,256
TOK02652,EMP0265,136
TOK02661,EMP0266,294
TOK02662,EMP0266,160
TOK02671,EMP0267,137
TOK02672,EMP0267,245
TOK02681,EMP0268,244
TOK02691,EMP0269,158
TOK02692,EMP0269,83
TOK02701,EMP0270,119
TOK02702,EMP0270,216
TOK02711,EMP0271,223
TOK02712,EMP0271,255
TOK02721,EMP0272,217
TOK02731,EMP0273,53
TOK02741,EMP0274,198
TOK02742,EMP0274,160
TOK02751,EMP0275,428
TOK02761,EMP0276,79
TOK02771,EMP0277,23
TOK02772,EMP0277,160
TOK02781,EMP0278,134
TOK02782,EMP0278,210
TOK02791,EMP0279,57
TOK02801,EMP0280,227
TOK02802,EMP0280,203
TOK02811,EMP0281,282
TOK02821,EMP0282,60
TOK02831,EMP0283,296
TOK02841,EMP0284,96
TOK02851,EMP0285,35
TOK02852,EMP0285,253
TOK02861,EMP0286,670
TOK02871,EMP0287,156
TOK02872,EMP0287,285
TOK02881,EMP0288,126
TOK02891,EMP0289,110
TOK02901,EMP0290,152
TOK02911,EMP0291,71
TOK02912,EMP0291,114
TOK02921,EMP0292,88
TOK02931,EMP0293,53
TOK02932,EMP0293,266
TOK02941,EMP0294,171
TOK02942,EMP0294,232
TOK02951,EMP0295,190
TOK02961,EMP0296,214
TOK02971,EMP0297,481
TOK02981,EMP0298,156
TOK02982,EMP0298,276
TOK02991,EMP0299,235
TOK03001,EMP0300,78
TOK03002,EMP0300,117
TOK03011,EMP0301,157
TOK03021,EMP0302,126
TOK03022,EMP0302,22
TOK03031,EMP0303,24
TOK03041,EMP0304,126
TOK03051,EMP0305,179
TOK03061,EMP0306,247
TOK03062,EMP0306,117
TOK03071,EMP0307,54
TOK03072,EMP0307,53
TOK03081,EMP0308,699
TOK03082,EMP0308,465
TOK03091,EMP0309,140
TOK03092,EMP0309,235
TOK03101,EMP0310,167
TOK03111,EMP0311,58
TOK03121,EMP0312,144
TOK03131,EMP0313,202
TOK03141,EMP0314,271
TOK03151,EMP0315,253
TOK03152,EMP0315,168
TOK03161,EMP0316,250
TOK03162,EMP0316,157
TOK03171,EMP0317,24
TOK03172,EMP0317,136
TOK03181,EMP0318,144
TOK03191,EMP0319,549
TOK03192,EMP0319,468
TOK03201,EMP0320,33
TOK03211,EMP0321,242
TOK03221,EMP0322,164
TOK03222,EMP0322,52
TOK03231,EMP0323,220
TOK03232,EMP0323,59
TOK03241,EMP0324,213
TOK03242,EMP0324,287
TOK03251,EMP0325,32
TOK03252,EMP0325,28
TOK03261,EMP0326,71
TOK03262,EMP0326,120
TOK03271,EMP0327,219
TOK03281,EMP0328,94
TOK03291,EMP0329,176
TOK03301,EMP0330,423
TOK03311,EMP0331,289
TOK03312,EMP0331,43
TOK03321,EMP0332,142
TOK03331,EMP0333,187
TOK03332,EMP0333,167
TOK03341,EMP0334,278
TOK03351,EMP0335,88
TOK03361,EMP0336,77
TOK03362,EMP0336,224
TOK03371,EMP0337,245
TOK03372,EMP0337,221
TOK03381,EMP0338,155
TOK03382,EMP0338,277
TOK03391,EMP0339,283
TOK03392,EMP0339,245
TOK03401,EMP0340,275
TOK03402,EMP0340,124
TOK03411,EMP0341,488
TOK03421,EMP0342,242
TOK03431,EMP0343,76
TOK03441,EMP0344,25
TOK03451,EMP0345,182
TOK03452,EMP0345,47
TOK03461,EMP0346,168
TOK03462,EMP0346,63
TOK03471,EMP0347,136
TOK03472,EMP0347,167
TOK03481,EMP0348,105
TOK03491,EMP0349,94
TOK03492,EMP0349,269
TOK03501,EMP0350,151
TOK03502,EMP0350,227
